연번,태마명,계절,관광테마,주소,위도,경도,전화번호,상세내용,기타_홈페이지 주소
1,원예예술촌 꽃밭축제,봄,"봄, 자가용/렌트, 버스, 친구, 키즈, 연인, 우정女, 우정男, 효도, 단체",경상남도 남해군 삼동면 예술길 39 원예예술촌,34.803788,128.0362233,,,http://housengarden.net/location/
2,고현 관음포 둑방 봄꽃·땅두릅 축제,봄,"봄, 친구, 키즈, 연인, 우정女, 우정男, 효도, 단체",경상남도 남해군 고현면 대사천 일원,34.897094,127.871456,055-860-8601,"남해군의 관음포만은 조선시대의 이순신장군과 고려시대의 정지장군의 호국 얼이 살아 숨쉬는 곳으로 순국공원, 관음포공원, 해양낚시공원과 함께 힐링테마축제 관광명소로 발돋움하고 있다. 본 축제는 남해를 찾은 상춘객들에게 남해의 따스한 시골 정취가 고스란히 물들어있는 서정적인 관음포 둑방길을 따라 2만여 ㎡ 펼쳐진 유채 물결을 선사한다.",http://tour.namhae.go.kr/main.web
3,2019 꽃길 음악축제,가을,"가을, 자가용/렌트, 버스, 친구, 키즈, 연인, 우정女, 우정男, 효도, 나홀로, 단체",경상남도 남해군 삼동면 예술길 39,34.803734,128.035971,,,
4,보물섬 남해 커피축제,가을,"가을, 자가용/렌트, 친구, 키즈, 연인, 우정女, 우정男, 효도, 나홀로",경상남도 남해군 남해읍 화전로43번길 20-5 남산근린공원,34.83985336,127.8942135,055-860-8601,남해의 아름다운 자연환경과 어우러진 향긋한 커피내음의 콜라보! 보물섬바리스타협의회가 주최하여 남해실내체육관 뒤 남산공원 잔디밭에서 개최하는 본 축제는 축제장을 찾은 방문객들에게 커피라는 아이템으로 남해군 홍보는 물론 지역주민과 직접적인 소통을 하고 커피 무료 나눔 행사로 나눔의 삶이 살아 있는 실천의 공간으로 만들고 커피로스팅 체험 및 라떼아트 시연 등 다양한 체험활동들과 함께 향기로운 음악의 하모니를 선사한다.,http://tour.namhae.go.kr/main.web
5,제5회 내산 단풍축제,봄,"봄, 여름, 가을, 겨울, 친구, 키즈, 연인, 우정女, 우정男, 효도, 나홀로, 단체","경상남도 남해군 삼동면 금암로 562-23, 나비생태공원",34.757657,128.012772,,,
6,창선 고사리 삼합 축제,봄,"봄, 친구, 키즈, 연인, 우정女, 우정男, 효도, 단체","경상남도 남해군 창선면 상죽리 10-9, 창선생활체육공원",34.861558,128.015598,055-860-8601,"보물섬 남해의 맛! 국내 최대산지, 최고품질을 자랑하는 남해군 창선 고사리의 맛과 명성을 전국에 알리고자 올해를 4회 째로 창선 고사리 삼합축제를 생활체육공원 일원에서 개최한다. 남해군의 청정 자연환경에서 자라난 고사리와 홍합과 바지락 삼합의 조화는 관광객들의 입맛을 사로잡기에 충분하다. 따스한 늦봄의 정취와 함께 다양한 볼거리와 먹거리 및 체험행사는 본 축제를 더욱 풍부하게 만들어 준다. 싱싱한 수산물, 건강한 사람, 한 폭의 수채화 같은 자연이 한 데 어우러진 보물섬 남해 창선에서 열리는 고사리 삼합축제에서 행복한 여행의 첫 장을 만들어보자!",http://tour.namhae.go.kr/main.web
7,보물섬 남해 갈화 왕새우 특판행사,"여름, 가을","여름, 가을, 자가용/렌트, 버스, 친구, 키즈, 연인, 우정女, 우정男, 효도, 단체",경상남도 남해군 고현면 갈화리 동갈화항 일원(남해군 고현면 갈화리 1706-14),34.8994978,127.8349267,055-860-8601,2017년부터 개최 된 보물섬남해 갈화왕새우축제는 맑고 푸른 남해 바다에서 자란 왕새우(흰다리새우)를 활용한 다양한 요리와 함께 흥겨운 축제의 향연을 선사한다. 남해의 새로운 별미로 각광받고 있는 흰다리새우의 맛과 우수성을 홍보하고자 마련된 본 축제는 매년 1만여명 이상의 미식가들의 발길을 사로잡고 있다. 천혜의 자연환경을 가진 보물섬남해에서 맛있는 여행을 시작해보자!,http://tour.namhae.go.kr/main.web
8,가천다랭이마을 해맞이행사,겨울,"겨울, 자가용/렌트, 친구, 키즈, 연인, 우정女, 우정男, 나홀로, 단체",경상남도 남해군 남면 남면로 702,34.72806502,127.8909575,055-860-8601,"농악공연, 기원제, 한지소원쓰기, 소원쓰기 이벤트 참여자 상품증정, 무료음식나눔 등",http://tour.namhae.go.kr/main.web
9,상주해돋이&물메기축제,겨울,"겨울, 자가용/렌트, 버스, 친구, 키즈, 연인, 우정女, 우정男, 효도, 단체",경상남도 남해군 상주면 상주리 1227,34.72258504,127.9881349,055-860-8601,"축하공연, 물메기먹거리행사, 체험행사 해돋이행사(소원풍선 날리기 등) 등",http://tour.namhae.go.kr/main.web
10,창선고사리삼합축제,봄,"봄, 가족, 친구, 연인, 단체",경상남도 남해군 창선면 상죽리 10-9,34.86128726,128.0161539,055-860-8601,,
11,설천 참굴축제,겨울,"겨울, 자가용/렌트, 버스, 친구, 키즈, 연인, 우정女, 우정男, 효도, 단체",경상남도 남해군 설천면 노량~감암 일원,34.91409279,127.9272301,055-860-8601,구룡의 전설남해군 설천면 문항마을의 산세와 지형을 보면 무엇이 떠오르는가? 바로 아홉 마리의 용이 떠오를 것이다. 오래전부터 마을 사람들은 용을 실제로 본 적은 없지만 아홉 마리의 용이 마을을 지킨다고 믿었다.마을 사람들은 바닷길이 열리는 시간에 맞춰 섬으로 들어가 소원을 빌기도 했고 자신의 이야기를 넋두리 하듯 섬에 흘려 놓곤 했다. 사람들은 자신의 이야기를 용이 듣고 있을 거라 믿었기 때문이다. 자연스레 섬으로 가는 길을 '소원 길' 그 섬을 '소원 섬'이라 불렀다. 상상의 존재라 생각했던 아홉 마리의 용은... 눈에는 보이지 않았지만 바다 건너섬에 살고 있었다... 그들의 이야기를 듣고 하늘에 전달하며 문항마을을 수호하고 있었다. 마을의 수호신 아홉 마리 용 (구룡) 마을 사람들만 알고 있던 비밀을 설천면 참굴 축제에 공유하여 많은 사람의 소원을 용에게 전달하고 하고자 한다...,http://tour.namhae.go.kr/main.web
12,보물섬 미조항 멸치축제,봄,"봄, 자가용/렌트, 친구, 키즈, 연인, 우정女, 우정男, 효도, 나홀로, 단체",경상남도 남해군 미조면 미조리 북항 일원,34.71314449,128.0453216,055-860-3343,"“에헤라~ 멸치 천재(天財)로구나” 매일 파도와 싸우며 잡아 올린 싱싱한 수산물! 만선의 기쁨을 함께하는 갈매기! 힘차게 파도를 가르는 어부들의 웃음! 건강한 삶의 에너지가 넘치는 대한민국의 최고의 미항 미조! 미조는 하늘을 닮은 쪽빛 바다와 바다를 품고 앉은 기암괴석, 송림과 은빛모래가 어우러진 ‘송정 솔바람해변’, 나라를 위해 목숨을 바친 최영 장군의 넋을 기린 ‘무민사’, 해풍으로부터 마을을 지키기 위해 조성한 천연기념물 제29호 ‘남해미조리 상록수림’ 등 천혜의 자연과 인심 좋은 따뜻한 사람들이 하나 되어 살아가는 아름다운 곳이다. 멸치회, 멸치쌈밥, 싱싱한 수산물, 건강한 사람, 한 폭의 수채화 같은 자연이 한데 어우러진 보물섬 남해 미조에서 열리는 보물섬 미조항 멸치 & 바다축제. 다양한 바다체험과 볼거리, 먹거리로 행복한 여행을 시작해 보자.",http://tour.namhae.go.kr/main.web
