노선번호,기점,종점,상행첫차,상행막차,하행첫차,하행막차,배차간격(첨두),배차간격(비첨두),데이터기준일자
B1,광주하남교육청,전원마을입구,05:40,21:40,05:50,22:20,20,75,2023-12-07
B1-12,삼동역,태전효성해링턴플레이스,08:20,20:15,08:50,20:45,80,190,2023-12-07
B1-13,경기광주역,태전효성해링턴플레이스,06:30,06:30,07:25,07:25,0,0,2023-12-07
B1-20,보건소.공설운동장,직동,15:20,15:20,16:10,16:10,0,0,2023-12-07
B1-21,광주하남교육청,직동,06:20,21:30,07:10,20:45,0,0,2023-12-07
B1-22,보건소.공설운동장,직동,07:15,07:15,08:05,08:05,0,0,2023-12-07
B1-23,광주하남교육청,광주시축협,06:50,06:50,09:15,09:15,0,0,2023-12-07
B10,이천터미널,태평터미널,06:50,21:50,06:10,21:50,10,25,2023-12-07
B100,광주터미널,시청,07:00,21:30,07:25,22:00,30,80,2023-12-07
B111,여주대하차장,불교회관,05:55,21:20,06:40,22:10,30,40,2023-12-07
B1113-1,동원대학교,테크노마트앞.강변역(D),04:25,00:00,05:40,01:10,10,15,2023-12-07
B1113-10,동원대학교,테크노마트앞.강변역(D),06:14,07:25,07:45,09:00,15,15,2023-12-07
B1113-11,동원대학교,테크노마트앞.강변역(D),17:30,18:10,18:45,19:30,20,20,2023-12-07
B1113-2,광주터미널,테크노마트앞.강변역(D),05:00,23:00,05:50,23:55,10,20,2023-12-07
B114,장호원시외버스터미널(시외),광주터미널,04:50,21:30,06:30,23:20,30,60,2023-12-07
B114-1,곤지암터미널,터미널신둔홈,07:40,14:10,08:15,14:40,0,0,2023-12-07
B119,오산리종점,군자역.용마초등학교(중),05:00,22:00,06:20,23:20,15,25,2023-12-07
B12,이천터미널,청강문화산업대,06:30,21:30,06:35,21:40,40,330,2023-12-07
B12-1,이천터미널,청강문화산업대,09:00,21:00,10:05,22:15,25,508,2023-12-07
B12-2,이천터미널,청강문화산업대,07:05,19:50,08:10,20:55,50,575,2023-12-07
B12-3,이천터미널,청강문화산업대,08:10,09:25,09:15,10:25,75,75,2023-12-07
B13,광주터미널,테크노마트앞.강변역(D),05:00,23:00,05:00,23:30,12,17,2023-12-07
B13-2,초록마을입구,테크노마트앞.강변역(D),05:25,21:35,06:05,23:00,0,0,2023-12-07
B15-1,경기광주역,남한산성(종점),05:40,20:30,06:20,21:20,30,60,2023-12-07
B15-2,경기광주역,엄미리.미라울,08:50,19:20,09:30,20:00,95,270,2023-12-07
B15-3,경기광주역,상번천3리노인회관,06:40,20:45,07:10,16:40,90,285,2023-12-07
B15-5,경기광주역,광주도시관리공사,07:55,17:35,08:40,18:25,580,585,2023-12-07
B150,여주역,이포약국,09:20,18:00,10:30,19:10,200,320,2023-12-07
B155,여주역,이포,20:30,20:30,21:20,21:20,0,0,2023-12-07
B16,상산곡동.공영차고지,일원본동주민센터,04:50,22:30,06:00,23:50,10,15,2023-12-07
B160,영진리버빌,여강중고등학교,08:00,08:00,08:25,08:25,0,0,2023-12-07
B165,여주역,여강중고등학교,16:20,16:20,17:00,17:00,0,0,2023-12-07
B17,광주차고지,숭신여자중고교.래미안금광아파트,05:00,22:20,04:40,23:20,5,10,2023-12-07
B17-1,광주차고지,숭신여자중고교.래미안금광아파트,04:50,22:00,05:45,22:50,30,40,2023-12-07
B17-1A,광주차고지,숭신여자중고교.래미안금광아파트,06:00,21:20,05:25,23:10,80,120,2023-12-07
B17-3,광주하남교육청,봉골종점,06:30,18:20,07:40,19:20,160,340,2023-12-07
B170,정광휴레나아파트.멱곡2통,여강중고등학교,07:55,07:55,08:30,08:30,0,0,2023-12-07
B175,여주역,여강중고등학교앞,16:20,16:20,17:00,17:00,0,0,2023-12-07
B180,여주역,당산리입구,09:20,18:10,10:30,19:10,520,520,2023-12-07
B185,여주역,계림2리마을회관,12:40,20:25,13:50,21:25,465,465,2023-12-07
B2,광주차고지,현산마을,05:00,23:20,05:45,00:10,10,20,2023-12-07
B2-1,세광아파트,대주아파트.종점,05:50,22:00,06:20,22:05,10,30,2023-12-07
B2-2,보건소.공설운동장,선동초교앞,06:45,21:15,06:10,21:50,65,105,2023-12-07
B2-3,시청,센트럴푸르지오.힐링포레스트공원,06:30,21:45,05:55,22:10,15,50,2023-12-07
B2-5,광주터미널,가래울,07:10,21:00,07:35,21:25,70,165,2023-12-07
B2-6,세광아파트,밀목사거리.광주시청앞,08:20,15:30,08:40,15:50,0,0,2023-12-07
B20-52,자석2리.종점,태평리,07:10,07:10,00:00,00:00,0,0,2023-12-07
B21,신일아파트앞,이천터미널,06:35,22:00,06:45,22:10,0,0,2023-12-07
B21-16,신일아파트앞,현대사원아파트,07:10,07:10,00:00,00:00,0,0,2023-12-07
B25-4,장호원초등학교,오남리종점,18:20,18:20,18:30,18:30,0,0,2023-12-07
B25-41,장호원초등학교,오남리종점,07:30,07:30,07:40,07:40,0,0,2023-12-07
B25-5,장호원초등학교,어석리,07:05,18:50,07:20,19:05,200,295,2023-12-07
