고유 아이디,고유 아이디2,파일 저장명,파일 원본명,파일 섬네일명,파일 저장 경로,파일 크기,파일 종류,사용유무,파일명
196,144,20131218191403279.jpg,124-1-NSMK-청둥오리.jpg,thum_20131218191403279.jpg,https://smart.science.go.kr/upload_data/subject/link/thum_20131224130813480.JPG,1724138,image/jpeg,Y,청둥오리
197,145,20131218191551810.jpg,125-1-SMNH-청둥오리.jpg,thum_20131218191551810.jpg,https://smart.science.go.kr/upload_data/subject/link/thum_20131224131707775.JPG,77501,image/jpeg,Y,청둥오리
198,146,20131218191745480.jpg,126-3-JNHM-청둥오리.jpg,thum_20131218191745480.jpg,https://smart.science.go.kr/upload_data/subject/link/thum_20131224132902616.JPG,103020,image/jpeg,Y,청둥오리
199,147,20131218191938296.jpg,127-4-MNHM-청둥오리.jpg,thum_20131218191938296.jpg,https://smart.science.go.kr/upload_data/subject/link/thum_20131224133208718.JPG,63227,image/jpeg,Y,청둥오리
203,151,20131218192719620.jpg,131-1-NSMK-큰부리까마귀.jpg,thum_20131218192719620.jpg,https://smart.science.go.kr/upload_data/subject/link/thum_20131224134413057.JPG,2224627,image/jpeg,Y,큰부리까마귀
204,152,20131218192907523.jpg,132-3-JNHM-큰부리까마귀.jpg,thum_20131218192907523.jpg,https://smart.science.go.kr/upload_data/subject/link/thum_20131224134629371.jpg,58349,image/jpeg,Y,큰부리까마귀
208,156,20131218193647387.jpg,137-1-NSMK-해오라기.jpg,thum_20131218193647387.jpg,https://smart.science.go.kr/upload_data/subject/link/thum_20131224135259665.JPG,1639956,image/jpeg,Y,해오라기
209,157,20131218193835057.jpg,138-1-SMNH-해오라기.jpg,thum_20131218193835057.jpg,https://smart.science.go.kr/upload_data/subject/link/thum_20131224135702834.JPG,47141,image/jpeg,Y,해오라기
71,24,20131205010853608.JPG,004_스테고사우루스_01.JPG,thum_20131205010853608.JPG,https://smart.science.go.kr/upload_data/subject/link/thum_20131224140842719.JPG,328759,image/jpeg,Y,스테고사우루스 측면
72,24,20131205010853750.JPG,004_스테고사우루스_02.JPG,thum_20131205010853750.JPG,https://smart.science.go.kr/upload_data/subject/link/thum_20131224141314868.JPG,337620,image/jpeg,Y,스테고사우루스 측면
94,42,20131218163914439.jpg,7-1-NSMK-괭이갈매기.jpg,thum_20131218163914439.jpg,https://smart.science.go.kr/upload_data/subject/link/thum_20131224141636653.JPG,2146711,image/jpeg,Y,괭이갈매기
102,50,20131218165156458.jpg,19-1-SMNH-노랑턱멧새.jpg,thum_20131218165156458.jpg,https://smart.science.go.kr/upload_data/subject/link/thum_20131224141920219.JPG,56036,image/jpeg,Y,노랑턱멧새
108,56,20131218165936436.jpg,98-3-JNHM-오목눈이.jpg,thum_20131218165936436.jpg,https://smart.science.go.kr/upload_data/subject/link/thum_20131224142327909.JPG,113431,image/jpeg,Y,오목눈이
122,70,20131218172406449.jpg,33-1-SMNH-딱새.jpg,thum_20131218172406449.jpg,https://smart.science.go.kr/upload_data/subject/link/thum_20131224142637661.JPG,68611,image/jpeg,Y,딱새
143,91,20131218174524518.jpg,59-3-JNHM-바다직박구리.jpg,thum_20131218174524518.jpg,https://smart.science.go.kr/upload_data/subject/link/thum_20131224142754569.JPG,111999,image/jpeg,Y,바다직박구리
