구분,지역,지점명,주소,전화번호
미소지점,강원,IBK미소금융재단 강릉지부,강원 강릉시 경강로 2087 기업은행 강릉지점 2층,033-822-4200
미소지점,경기,IBK미소금융재단 고양지부,경기도 고양시 일산동구 중앙로1187  흥국생명빌딩6층 (통합거점센터),031-365-5200
미소지점,서울,IBK미소금융재단 강서지부,서울 강서구 양천로 57길 10-10 (강서고용복지플러스센타 3층),02-2038-3432
미소지점,서울,IBK미소금융재단 관악지부,서울 관악구 남부순환로 1794 IBK기업은행 서울대역지점 2층,02-6925-6940
미소지점,서울,IBK미소금융재단 광진지부,서울 광진구 광나루로56길85 5층(구의동.테크노마트) 광진서민금융통합지원센터,02-6925-3700
미소지점,서울,IBK미소금융재단 구로지부,서울 구로구 개봉로 60 IBK기업은행 개봉동지점 3층,02-6925-3710
미소지점,대구,IBK미소금융재단 대구달서지부,대구시 달서구 성서공단북로 158 (ibk기업은행성서3차단지지점2층),053-719-3730
미소지점,대구,IBK미소금융재단 대구서구지부,대구시 달서구 달구벌대로 1780 교보생명빌딩 2층,053-721-7100
미소지점,대전,IBK미소금융재단 대전지부,대전 동구 중교로 125 (구)IBK기업은행 1층,042-716-4200
미소지점,서울,IBK미소금융재단 동대문지부,서울 동대문구 천호대로 233 IBK기업은행 답십리지점 3층,02-6925-7307
미소지점,부산,IBK미소금융재단 부산지부,부산 중구 흑교로 5 기업은행 부평동지점 3층,051-714-4200
미소지점,경기,IBK미소금융재단 부천지부,부천시 원미구 송내대로66 용운빌딩8층 (경인지역서민금융통합거점센터내),032-668-5200
미소지점,경기,IBK미소금융재단 시흥지부,경기도 시흥시 새재로32 시흥시종합일자리센터 1층,031-365-4200
미소지점,경기,IBK미소금융재단 안산지부,경기도 안산시 단원구 적금로 126 (고잔동) IBK기업은행 안산중앙지점 3층,031-485-4690
미소지점,경남,IBK미소금융재단 양산지부,경남 양산시 물금읍 증산역로 135 퍼스트조양 5층 (양산서민금융통합지원센터),055-781-2300
미소지점,서울,IBK미소금융재단 양천지부,서울 양천구 목동로177 정동프라자7층(서민금융통합지원센터),02-6925-6869
미소지점,전남,IBK미소금융재단 여수지부,여수시 통제영 5길6 IBK기업은행 여수지점 2층,061-807-2900
미소지점,서울,IBK미소금융재단 은평지부,서울시 은평구 통일로 725 IBK기업은행 불광역지점 2층,02-6925-5100
미소지점,전북,IBK미소금융재단 익산지부,전북 익산시 익산대로16길23 IBK기업은행 익산중앙지점 2층,063-723-3900
미소지점,경기,IBK미소금융재단의정부지부,경기도 의정부시 평화로 325 5층(경기도 서민금융복지지원센터 내),031-876-8780
미소지점,경기,IBK미소금융재단수원지부,경기도 수원시 팔달구 매산로 20번길 23 4층(경기도 서민금융복지지원센터 내),031-241-2030
미소지점,경기,KB미소금융재단 경기남부지부,경기도 안양시 만안구 안양로 329(안양동) 국민은행 안양동지점 1층,031-442-8990
미소지점,대구,KB미소금융재단 대구지부,대구광역시 북구 칠곡중앙대로 439(관음동) 국민은행 대구강북지점 2층,053-314-5031
미소지점,대전,KB미소금융재단 대전지부,대전광역시 중구 대종로 478(은행동) 국민은행 대전은행동지점 4층,042-254-1025
미소지점,부산,KB미소금융재단 부산지부,부산광역시 부산진구 복지로 2(개금동) 국민은행 개금동지점 2층,051-894-6990
미소지점,서울,KB미소금융재단 서울도봉지부,서울특별시 도봉구 노해로 383(창동) 국민은행 창동지점 4층,02-3297-3745
미소지점,서울,KB미소금융재단 서울서부지부,서울 은평구 수색로 246 (수색동) 국민은행 수색지점 3층,02-375-9330
미소지점,인천,KB미소금융재단 인천지부,인천광역시 중구 제물량로 196(해안동3가) 국민은행 신포동(점) 2층,032-765-6831
미소지점,광주,KB미소금융재단 호남지부,광주 동구 금남로 204 (금남로4가) 국민은행 광주종합금융센터 4층,062-225-3361
미소지점,광주,LG미소금융재단 광주지부,광주 북구 임방울대로 1063(용두동) 6층 북광주서민금융통합지원센터,062-716-1020
미소지점,경북,LG미소금융재단 구미지부,경북 구미시 백산로 118 구미고용센터 3층,054-715-6001
미소지점,대구,LG미소금융재단 대구지부,대구시 수성구 동대구로 392 대구고용복지+센터 1층 (범어동),053-710-1020
미소지점,대전,LG미소금융재단 대전지부,대전시 서구 월평서로 11 신신빌딩 4층 401호,042-721-2143
미소지점,부산,LG미소금융재단 부산중구출장소,부산시 중구 대청로 80 백성사오피스텔 904호 (대청동3가),051-243-4806
미소지점,부산,LG미소금융재단 부산지부,부산시 연제구 중앙대로 1000 국민연금빌딩 16층 (연산동),051-710-2261
미소지점,서울,LG미소금융재단 서울지부,서울시 서초구 동작대로 186 신흥빌딩 5층 ,02-6929-0534
미소지점,경기,LG미소금융재단 안산출장소,경기도 안산시 단원구 중앙대로 927 남양빌딩 5층 안산서민금융통합센터,031-546-3428
미소지점,인천,LG미소금융재단 인천출장소,인천 계양구 경명대로 1074 2층,032-715-8020
미소지점,경기,LG미소금융재단 일산지부,경기도 고양시 덕양구 은빛로 45 206-2 화정꽃무리조합프라자 (화정동),031-8074-9120
미소지점,전북,LG미소금융재단 전주출장소,전주시 덕진구 기린대로 396 세광타워 3층 전주 서민금융통합지원센타,063-717-1904
미소지점,경남,LG미소금융재단 창원지부,경남 창원시 성산구 중앙대로 82 삼성생명빌딩 3층,055-713-5591
미소지점,경기,LG미소금융재단 성남지부,경기도 성남시 분당구 황새울로 258번길 31 예미지 빌딩 2층 성남서민금융통합지원센터,031-679-8136
미소지점,경기,LG미소금융재단 안양지부,경기 안양시 만안구 안양로 270 남서울빌딩 7층,031-8055-3630
미소지점,충북,LG미소금융재단 청주지부,충북 청주시 서원구 1순환로 642(사창동) 청주고용복지센터2층 ,043-230-7079
미소지점,강원,SK미소금융재단 강릉지부,강원도 강릉시 강릉대로 33 강릉시청 15층 서민금융통합지원센터,033-921-5500
미소지점,서울,SK미소금융재단 강북지부,서울 강북구 도봉로 136 풍양빌딩 3층 강북·성북고용복지플러스센터 內,02-6224-5500
미소지점,서울,SK미소금융재단 관악지부,서울 관악구 시흥대로 578 (신림동) 광안빌딩 6층 서민금융통합지원센터,02-6332-5500
미소지점,전북,SK미소금융재단 군산지부,전라북도 군산시 조촌로 62 (조촌동 752-4) 군산고용복지+센터 3층 군산서민금융통합지원센터,063-901-5500
미소지점,경기,SK미소금융재단 남양주지부,경기도 남양주시 별내3로 64-21 별내행정복지센터 1층,031-515-5510
미소지점,대전,SK미소금융재단 대전지부,대전 서구 문정로 41 SK텔레콤 둔산사옥 2층 內,042-348-5500
